value,proposed,result
59354, 23741.6, 0
90046, 45023.0, 0
67326, 13465.2, 0
17752, 3550.4, 0
48331, 28998.6, 0
13822, 5528.8, 1
69397, 41638.2, 0
71098, 21329.4, 0
36889, 14755.6, 0
44640, 13392.0, 0
86482, 60537.4, 0
83055, 58138.5, 1
64772, 19431.6, 0
95162, 19032.4, 0
98950, 39580.0, 0
4256, 851.2, 0
19879, 5963.7, 0
18642, 3728.4, 0
81666, 16333.2, 0
29284, 8785.2, 0
24915, 7474.5, 0
25200, 10080.0, 0
60804, 36482.4, 0
31871, 22309.7, 1
57550, 11510.0, 0
29648, 8894.4, 0
30599, 9179.7, 0
90806, 27241.8, 0
75620, 37810.0, 0
25283, 5056.6, 0
71476, 21442.8, 1
8030, 3212.0, 0
38262, 11478.6, 1
92219, 27665.7, 0
62627, 25050.8, 0
35142, 7028.4, 0
67431, 20229.3, 1
32623, 9786.9, 0
88039, 26411.7, 0
56487, 16946.1, 1
58894, 11778.8, 0
24991, 9996.4, 0
34964, 13985.6, 1
80958, 56670.6, 0
76200, 53340.0, 1
30567, 9170.1, 0
49354, 14806.2, 0
75284, 15056.8, 0
52784, 15835.2, 0
79109, 55376.3, 1
79113, 39556.5, 0
40150, 12045.0, 0
46060, 13818.0, 1
52356, 10471.2, 0
18639, 5591.7, 0
63624, 12724.8, 0
22389, 6716.7, 0
40805, 12241.5, 0
9435, 2830.5, 0
81070, 24321.0, 1
53112, 15933.6, 0
22363, 6708.9, 0
63645, 19093.5, 0
68760, 13752.0, 0
8375, 2512.5, 1
47848, 9569.6, 0
6476, 1942.8, 0
47007, 23503.5, 0
39197, 7839.4, 0
16035, 4810.5, 0
8221, 2466.3, 1
89601, 53760.6, 0
12842, 2568.4, 0
66816, 20044.8, 1
77743, 31097.2, 0
57679, 40375.3, 0
91846, 27553.8, 0
15054, 4516.2, 0
2857, 1714.2, 1
70739, 35369.5, 0
19290, 5787.0, 1
35584, 21350.4, 0
4304, 1291.2, 0
49763, 29857.8, 0
78191, 15638.2, 0
96672, 58003.2, 0
6007, 1802.1, 1
7738, 5416.6, 0
88891, 26667.3, 0
60608, 18182.4, 0
4090, 1636.0, 0
63818, 19145.4, 0
73810, 51667.0, 1
61092, 18327.6, 0
96059, 28817.7, 0
86697, 26009.1, 0
82976, 41488.0, 0
61843, 43290.1, 1
66783, 46748.1, 0
29694, 8908.2, 0
55010, 16503.0, 1
46551, 9310.2, 0
64418, 19325.4, 0
9515, 4757.5, 0
47131, 23565.5, 0
20124, 14086.8, 1
15990, 4797.0, 1
77497, 15499.4, 0
43853, 8770.6, 0
51165, 20466.0, 1
29317, 8795.1, 0
16518, 4955.4, 0
59518, 17855.4, 0
29098, 8729.4, 0
53415, 16024.5, 0
58638, 17591.4, 0
25951, 5190.2, 0
38128, 11438.4, 0
12621, 3786.3, 0
50993, 25496.5, 1
62553, 37531.8, 0
66309, 46416.3, 1
48154, 9630.8, 0
9512, 3804.8, 1
86709, 26012.7, 0
18735, 9367.5, 1
5162, 1032.4, 0
4386, 3070.2, 0
7750, 3100.0, 0
8495, 2548.5, 0
60508, 18152.4, 0
17513, 5253.9, 1
36436, 7287.2, 1
81319, 16263.8, 0
47047, 14114.1, 0
80003, 48001.8, 0
88165, 26449.5, 0
61146, 18343.8, 1
85002, 25500.6, 0
13769, 2753.8, 0
57595, 17278.5, 0
38644, 11593.2, 0
53337, 10667.4, 0
98221, 29466.3, 0
16334, 3266.8, 0
19688, 9844.0, 0
8075, 2422.5, 0
67415, 20224.5, 0
26945, 18861.5, 1
18532, 5559.6, 0
97011, 38804.4, 1
39689, 15875.6, 0
53616, 26808.0, 0
73949, 22184.7, 0
50578, 30346.8, 0
77650, 15530.0, 0
91640, 27492.0, 0
4045, 2022.5, 0
92078, 27623.4, 0
34439, 20663.4, 1
88388, 17677.6, 0
97320, 19464.0, 0
87369, 17473.8, 0
3390, 678.0, 0
92367, 27710.1, 1
29408, 8822.4, 0
45251, 13575.3, 1
20685, 14479.5, 0
57278, 17183.4, 0
96441, 57864.6, 0
2160, 1296.0, 0
55968, 16790.4, 0
3248, 974.4, 1
17123, 3424.6, 0
79223, 15844.6, 0
2654, 1592.4, 1
16920, 5076.0, 0
44022, 13206.6, 0
45977, 22988.5, 0
35320, 17660.0, 0
52935, 15880.5, 0
87308, 61115.6, 0
1820, 910.0, 1
29065, 8719.5, 0
76210, 22863.0, 0
19931, 5979.3, 0
2456, 1473.6, 0
97538, 19507.6, 0
45136, 27081.6, 0
45452, 9090.4, 0
5356, 2142.4, 0
45454, 13636.2, 1
72883, 36441.5, 1
49036, 24518.0, 0
59101, 23640.4, 1
59063, 41344.1, 1
36868, 22120.8, 0
15251, 9150.6, 1
88302, 17660.4, 0
51194, 15358.2, 0
46321, 9264.2, 0
35553, 7110.6, 0
83437, 33374.8, 0
93403, 56041.8, 0
22866, 11433.0, 1
43847, 17538.8, 0
4101, 1640.4, 0
72794, 21838.2, 0
25701, 17990.7, 0
84062, 42031.0, 0
80268, 16053.6, 0
10825, 2165.0, 0
31715, 15857.5, 0
63958, 25583.2, 0
57103, 17130.9, 0
70122, 35061.0, 1
42220, 12666.0, 1
23701, 4740.2, 0
37401, 7480.2, 0
21666, 6499.8, 1
85526, 17105.2, 0
87198, 34879.2, 0
91570, 64099.0, 1
98617, 19723.4, 0
86112, 25833.6, 0
31875, 15937.5, 0
81369, 24410.7, 0
38644, 19322.0, 1
45607, 13682.1, 0
32377, 9713.1, 0
49042, 14712.6, 0
85114, 51068.4, 0
22807, 13684.2, 0
8714, 2614.2, 1
42862, 21431.0, 1
93789, 37515.6, 0
96472, 28941.6, 0
61861, 18558.3, 0
19641, 7856.4, 0
82611, 16522.2, 0
10158, 3047.4, 0
5146, 1029.2, 0
77254, 46352.4, 0
26543, 15925.8, 0
97418, 29225.4, 0
50950, 15285.0, 0
32323, 12929.2, 1
89953, 26985.9, 0
88897, 62227.9, 1
45178, 9035.6, 0
71123, 14224.6, 0
41524, 8304.8, 0
85676, 25702.8, 0
20286, 4057.2, 0
96907, 29072.1, 0
38054, 22832.4, 0
87367, 43683.5, 0
47255, 14176.5, 0
1684, 505.2, 0
7987, 1597.4, 0
1836, 734.4, 1
82265, 16453.0, 0
44179, 17671.6, 0
39713, 11913.9, 0
20113, 12067.8, 0
79633, 15926.6, 0
19358, 5807.4, 0
50513, 25256.5, 1
87601, 26280.3, 0
52208, 31324.8, 0
55783, 11156.6, 0
91906, 27571.8, 0
92249, 18449.8, 0
91247, 18249.4, 0
59132, 29566.0, 1
58218, 17465.4, 1
86733, 43366.5, 0
1924, 577.2, 1
78696, 23608.8, 0
1019, 713.3, 0
83951, 41975.5, 1
85748, 60023.6, 0
19738, 5921.4, 0
18673, 11203.8, 1
17154, 10292.4, 0
19836, 9918.0, 0
44368, 22184.0, 0
91248, 27374.4, 1
48306, 9661.2, 0
61149, 18344.7, 0
80386, 24115.8, 0
5467, 1640.1, 0
82534, 41267.0, 0
43568, 13070.4, 0
98360, 19672.0, 0
19077, 5723.1, 0
64027, 19208.1, 0
28728, 5745.6, 0
38126, 7625.2, 0
61516, 18454.8, 0
6464, 1939.2, 1
78527, 39263.5, 1
45503, 31852.1, 1
63459, 19037.7, 0
11993, 3597.9, 1
27760, 19432.0, 1
24762, 7428.6, 0
2160, 1296.0, 0
95735, 28720.5, 0
60886, 42620.2, 1
89627, 62738.9, 1
50200, 15060.0, 0
24406, 7321.8, 1
62609, 12521.8, 0
22258, 15580.6, 1
2868, 2007.6, 1
37850, 11355.0, 0
76756, 30702.4, 0
15227, 3045.4, 0
85793, 25737.9, 0
22018, 4403.6, 0
23433, 7029.9, 0
52009, 15602.7, 0
89360, 26808.0, 1
21457, 12874.2, 1
45198, 13559.4, 1
50668, 20267.2, 0
43633, 8726.6, 1
74817, 29926.8, 0
3591, 718.2, 0
16105, 9663.0, 1
7317, 2195.1, 0
63808, 19142.4, 1
91485, 64039.5, 0
17374, 5212.2, 0
83226, 16645.2, 0
49519, 14855.7, 0
96226, 57735.6, 0
98969, 39587.6, 0
86957, 17391.4, 0
93859, 18771.8, 0
84890, 25467.0, 0
10815, 3244.5, 0
40484, 24290.4, 0
53283, 31969.8, 0
96329, 67430.3, 1
56873, 17061.9, 0
84345, 25303.5, 1
36924, 25846.8, 1
24942, 7482.6, 0
13711, 4113.3, 0
20777, 4155.4, 0
67793, 20337.9, 0
27776, 11110.4, 0
27890, 11156.0, 0
4634, 1390.2, 0
76371, 22911.3, 0
39622, 11886.6, 0
93975, 46987.5, 0
93232, 18646.4, 0
98874, 69211.8, 0
57988, 17396.4, 0
67336, 20200.8, 1
31434, 9430.2, 0
35560, 10668.0, 1
54126, 16237.8, 0
3852, 770.4, 0
66253, 19875.9, 1
51819, 20727.6, 0
42895, 12868.5, 0
10923, 4369.2, 0
43894, 13168.2, 0
17842, 5352.6, 1
29784, 14892.0, 0
32772, 9831.6, 1
66097, 33048.5, 0
30180, 6036.0, 0
91876, 27562.8, 0
23962, 16773.4, 1
24039, 7211.7, 0
7981, 5586.7, 1
39774, 23864.4, 0
96682, 38672.8, 0
55970, 16791.0, 0
27834, 8350.2, 0
1240, 744.0, 0
41826, 20913.0, 0
43499, 13049.7, 0
97695, 58617.0, 1
32111, 9633.3, 0
52312, 10462.4, 0
62559, 18767.7, 0
94108, 28232.4, 1
3650, 730.0, 0
10197, 5098.5, 0
67192, 13438.4, 1
6576, 4603.2, 1
8554, 1710.8, 0
84329, 25298.7, 1
14127, 7063.5, 0
37655, 7531.0, 0
6195, 1858.5, 0
36812, 11043.6, 0
53023, 15906.9, 0
63895, 44726.5, 0
61040, 30520.0, 1
48082, 33657.4, 1
98591, 29577.3, 0
38100, 22860.0, 0
30266, 6053.2, 0
57439, 11487.8, 0
46209, 13862.7, 1
55270, 16581.0, 0
81882, 32752.8, 0
19578, 5873.4, 0
42839, 12851.7, 0
18568, 11140.8, 1
17051, 5115.3, 1
10798, 3239.4, 0
92590, 27777.0, 0
40647, 16258.8, 0
44245, 17698.0, 0
49125, 29475.0, 0
91826, 45913.0, 0
6048, 3628.8, 0
13282, 9297.4, 0
68987, 20696.1, 0
10111, 3033.3, 0
89033, 35613.2, 1
84008, 25202.4, 1
75295, 37647.5, 0
5985, 1795.5, 0
31379, 18827.4, 1
92005, 46002.5, 0
19357, 5807.1, 0
50834, 25417.0, 0
12618, 3785.4, 0
10045, 6027.0, 0
94363, 18872.6, 1
40643, 8128.6, 1
80151, 24045.3, 0
93814, 28144.2, 0
42466, 21233.0, 0
17824, 8912.0, 0
96887, 48443.5, 0
85943, 17188.6, 0
84084, 33633.6, 0
17172, 5151.6, 0
32058, 6411.6, 0
65175, 19552.5, 1
36355, 25448.5, 1
89267, 53560.2, 1
54416, 16324.8, 1
83696, 50217.6, 1
53192, 21276.8, 1
36409, 14563.6, 0
28980, 14490.0, 0
5677, 3406.2, 0
32664, 6532.8, 0
34524, 10357.2, 0
39253, 11775.9, 1
99123, 19824.6, 0
33978, 6795.6, 0
67613, 20283.9, 0
70374, 21112.2, 0
52694, 31616.4, 0
77421, 54194.7, 0
75961, 30384.4, 0
67556, 40533.6, 0
83913, 50347.8, 1
43854, 21927.0, 0
75814, 15162.8, 1
5864, 4104.8, 1
95761, 38304.4, 0
35914, 17957.0, 0
11379, 3413.7, 0
78374, 23512.2, 1
87740, 26322.0, 0
68972, 20691.6, 0
23892, 16724.4, 1
60303, 12060.6, 0
85294, 42647.0, 1
40438, 12131.4, 0
28867, 8660.1, 0
74666, 14933.2, 0
60967, 18290.1, 0
86903, 17380.6, 0
82515, 16503.0, 0
28304, 5660.8, 0
92973, 27891.9, 1
87176, 26152.8, 1
44738, 13421.4, 0
73796, 22138.8, 0
18351, 11010.6, 0
96294, 28888.2, 1
99467, 59680.2, 0
3859, 1157.7, 0
88732, 26619.6, 0
74064, 22219.2, 0
32924, 13169.6, 1
14449, 10114.3, 1
55373, 22149.2, 0
77217, 23165.1, 0
80442, 40221.0, 0
67241, 20172.3, 0
94105, 28231.5, 0
38821, 19410.5, 0
79067, 31626.8, 0
13468, 6734.0, 0
5223, 2089.2, 1
60143, 36085.8, 0
87531, 26259.3, 1
8584, 2575.2, 0
71955, 35977.5, 0
63154, 18946.2, 0
54362, 27181.0, 0
61148, 12229.6, 0
88059, 26417.7, 1
13931, 9751.7, 1
32861, 9858.3, 0
79408, 15881.6, 0
7815, 3126.0, 0
39867, 11960.1, 0
84415, 25324.5, 0
87455, 26236.5, 0
4360, 3052.0, 1
27715, 13857.5, 0
83296, 49977.6, 0
8605, 2581.5, 0
21779, 10889.5, 0
17267, 5180.1, 1
21866, 6559.8, 0
67777, 47443.9, 1
64024, 32012.0, 0
80751, 24225.3, 0
85495, 42747.5, 1
88822, 35528.8, 0
30450, 6090.0, 1
7325, 1465.0, 0
68709, 13741.8, 0
86976, 52185.6, 1
68021, 20406.3, 0
69845, 20953.5, 1
64382, 38629.2, 0
80618, 40309.0, 0
43500, 17400.0, 0
7895, 3158.0, 1
94543, 47271.5, 0
7494, 2248.2, 0
55369, 27684.5, 0
52464, 10492.8, 0
23222, 4644.4, 0
20812, 14568.4, 1
72502, 21750.6, 0
26140, 15684.0, 1
26912, 16147.2, 0
64139, 38483.4, 0
23613, 7083.9, 0
41667, 8333.4, 0
91043, 27312.9, 0
90639, 27191.7, 0
33673, 6734.6, 0
87833, 17566.6, 0
43761, 30632.7, 0
21767, 10883.5, 1
5906, 2362.4, 0
81528, 32611.2, 0
97693, 19538.6, 0
25579, 5115.8, 0
44647, 31252.9, 1
39204, 27442.8, 1
16308, 4892.4, 1
83494, 25048.2, 0
83989, 16797.8, 0
66982, 13396.4, 0
85746, 25723.8, 0
77164, 23149.2, 0
74987, 14997.4, 0
32504, 9751.2, 0
84479, 25343.7, 1
1746, 698.4, 1
17768, 5330.4, 0
95815, 67070.5, 0
22931, 6879.3, 1
31349, 18809.4, 0
14108, 4232.4, 0
97809, 68466.3, 1
96555, 38622.0, 1
69586, 27834.4, 0
1443, 432.9, 0
86466, 51879.6, 0
42148, 12644.4, 0
6672, 4003.2, 0
84042, 25212.6, 0
75757, 30302.8, 0
34428, 10328.4, 0
80470, 24141.0, 0
3321, 996.3, 0
58445, 17533.5, 0
25495, 10198.0, 1
67000, 20100.0, 0
67553, 33776.5, 0
73509, 22052.7, 0
50594, 15178.2, 0
16988, 5096.4, 0
55536, 27768.0, 0
96155, 38462.0, 1
27491, 5498.2, 1
32163, 22514.1, 0
84989, 42494.5, 0
13454, 4036.2, 1
33016, 9904.8, 0
33050, 6610.0, 0
8224, 2467.2, 0
82684, 24805.2, 0
45899, 27539.4, 1
65475, 39285.0, 0
54637, 38245.9, 0
17303, 3460.6, 0
13686, 4105.8, 0
73190, 14638.0, 0
53245, 21298.0, 1
54419, 21767.6, 1
63474, 19042.2, 0
96872, 38748.8, 0
41559, 12467.7, 1
51217, 30730.2, 0
42656, 12796.8, 0
23615, 7084.5, 0
56397, 33838.2, 0
29324, 20526.8, 1
15997, 11197.9, 1
8759, 1751.8, 0
83229, 16645.8, 0
62093, 18627.9, 0
96551, 28965.3, 0
47785, 14335.5, 0
12119, 8483.3, 1
77716, 31086.4, 0
94772, 66340.4, 0
11739, 3521.7, 0
18393, 5517.9, 0
73786, 36893.0, 0
14229, 2845.8, 0
47224, 18889.6, 1
90792, 18158.4, 0
5350, 2675.0, 0
38004, 26602.8, 0
19024, 13316.8, 0
33939, 20363.4, 1
22417, 4483.4, 0
12592, 3777.6, 0
24866, 7459.8, 0
61699, 12339.8, 0
66654, 13330.8, 1
27645, 19351.5, 0
28229, 8468.7, 0
48402, 33881.4, 0
20748, 8299.2, 0
81917, 24575.1, 0
12988, 3896.4, 0
78898, 23669.4, 0
53108, 15932.4, 0
51930, 10386.0, 0
92164, 18432.8, 0
7719, 1543.8, 0
81799, 24539.7, 0
88041, 26412.3, 1
3518, 1407.2, 1
66853, 40111.8, 0
97129, 48564.5, 0
51391, 35973.7, 1
86801, 34720.4, 0
40447, 12134.1, 0
62582, 18774.6, 0
16989, 5096.7, 0
68380, 20514.0, 0
79571, 15914.2, 0
70602, 14120.4, 1
22490, 6747.0, 1
39797, 11939.1, 0
91209, 54725.4, 1
84595, 59216.5, 1
64608, 19382.4, 0
58876, 17662.8, 0
89516, 26854.8, 0
70025, 21007.5, 0
61142, 18342.6, 1
43194, 12958.2, 0
16975, 5092.5, 0
82302, 24690.6, 0
40478, 12143.4, 0
92339, 27701.7, 0
13764, 2752.8, 0
5726, 1717.8, 0
13598, 4079.4, 1
26091, 5218.2, 0
15159, 10611.3, 0
74461, 44676.6, 0
63823, 19146.9, 0
41380, 16552.0, 1
18731, 9365.5, 0
15616, 3123.2, 0
43875, 13162.5, 0
22620, 13572.0, 0
60740, 18222.0, 0
38640, 11592.0, 0
92892, 27867.6, 0
48718, 19487.2, 0
2810, 1405.0, 0
85837, 42918.5, 0
21619, 6485.7, 0
57190, 34314.0, 1
33370, 13348.0, 1
45395, 13618.5, 0
75226, 52658.2, 0
6208, 1241.6, 0
43266, 8653.2, 0
94181, 18836.2, 0
11706, 3511.8, 0
19039, 7615.6, 0
82363, 32945.2, 0
91179, 18235.8, 0
82242, 16448.4, 0
13773, 8263.8, 0
26042, 7812.6, 0
27791, 5558.2, 0
74087, 14817.4, 0
47382, 18952.8, 0
16481, 3296.2, 0
64659, 45261.3, 1
71550, 21465.0, 0
54140, 10828.0, 0
27000, 18900.0, 1
79350, 23805.0, 0
7203, 5042.1, 1
91254, 27376.2, 0
94664, 28399.2, 0
88694, 26608.2, 0
21464, 8585.6, 0
85274, 17054.8, 0
92357, 64649.9, 1
67185, 20155.5, 0
47317, 14195.1, 0
34215, 10264.5, 0
33921, 10176.3, 1
80298, 24089.4, 0
94242, 28272.6, 0
74447, 22334.1, 0
70755, 14151.0, 0
59591, 11918.2, 1
81389, 40694.5, 1
83094, 16618.8, 0
11903, 7141.8, 1
10590, 6354.0, 0
92647, 37058.8, 0
62701, 18810.3, 0
89221, 53532.6, 0
10845, 2169.0, 0
57415, 28707.5, 0
44461, 13338.3, 1
79254, 39627.0, 1
79097, 23729.1, 0
43306, 12991.8, 0
91618, 27485.4, 0
2436, 487.2, 0
47893, 9578.6, 1
26066, 15639.6, 0
52197, 31318.2, 1
1371, 274.2, 0
70494, 14098.8, 0
13121, 7872.6, 0
99024, 59414.4, 0
41015, 28710.5, 1
52802, 10560.4, 0
81279, 32511.6, 0
18087, 5426.1, 0
30366, 18219.6, 0
89010, 44505.0, 0
87785, 43892.5, 0
68620, 20586.0, 0
1067, 320.1, 0
5306, 1591.8, 0
31379, 6275.8, 1
55416, 33249.6, 1
27594, 8278.2, 0
52446, 26223.0, 0
85513, 42756.5, 1
37250, 7450.0, 0
53375, 32025.0, 0
40741, 12222.3, 0
10387, 3116.1, 0
88935, 17787.0, 0
40034, 12010.2, 0
69319, 20795.7, 0
76771, 23031.3, 1
50955, 15286.5, 1
34793, 10437.9, 0
22463, 8985.2, 0
34338, 10301.4, 0
47929, 33550.3, 1
25921, 7776.3, 0
81014, 56709.8, 1
91533, 27459.9, 1
42652, 12795.6, 0
72782, 50947.4, 1
69230, 34615.0, 0
24028, 9611.2, 1
81627, 24488.1, 0
82400, 16480.0, 0
55003, 33001.8, 1
32683, 13073.2, 1
47010, 32907.0, 0
33955, 16977.5, 0
70774, 21232.2, 0
30180, 9054.0, 0
8824, 1764.8, 0
6494, 1948.2, 0
55320, 11064.0, 0
22512, 6753.6, 0
18771, 5631.3, 1
71039, 21311.7, 1
74651, 22395.3, 0
1757, 527.1, 0
14393, 2878.6, 0
89937, 53962.2, 0
74742, 14948.4, 0
19304, 9652.0, 0
2394, 478.8, 0
59731, 41811.7, 1
28932, 5786.4, 0
18128, 9064.0, 1
13526, 2705.2, 0
68496, 27398.4, 0
20555, 10277.5, 1
44121, 22060.5, 0
9106, 2731.8, 1
92527, 37010.8, 0
70973, 21291.9, 1
54322, 16296.6, 0
68964, 20689.2, 1
42469, 16987.6, 0
80052, 24015.6, 0
45254, 13576.2, 0
20515, 6154.5, 0
39116, 11734.8, 0
77160, 15432.0, 0
2556, 1789.2, 1
74461, 29784.4, 1
86392, 17278.4, 0
1702, 510.6, 0
38856, 11656.8, 0
19814, 5944.2, 0
46200, 13860.0, 0
34340, 10302.0, 1
21540, 8616.0, 0
99431, 29829.3, 0
85746, 25723.8, 1
26398, 15838.8, 0
24638, 7391.4, 0
11392, 2278.4, 0
5638, 1691.4, 0
75457, 15091.4, 0
61605, 18481.5, 1
96026, 28807.8, 0
21643, 6492.9, 0
97138, 29141.4, 0
21229, 6368.7, 0
83064, 58144.8, 1
71721, 35860.5, 0
73252, 36626.0, 0
61083, 18324.9, 0
87298, 26189.4, 0
90848, 27254.4, 0
62371, 37422.6, 1
1239, 247.8, 0
46405, 32483.5, 1
77211, 38605.5, 1
6448, 1934.4, 1
17511, 5253.3, 0
56258, 28129.0, 0
20525, 6157.5, 0
6461, 3876.6, 0
93217, 18643.4, 0
7882, 5517.4, 1
27370, 5474.0, 0
61340, 12268.0, 0
65435, 45804.5, 0
50107, 10021.4, 0
65169, 26067.6, 0
92406, 27721.8, 0
23106, 13863.6, 0
20686, 4137.2, 0
57133, 11426.6, 0
46671, 14001.3, 1
61331, 18399.3, 0
89987, 26996.1, 0
60177, 12035.4, 1
67611, 47327.7, 0
94491, 18898.2, 0
31127, 15563.5, 1
51145, 15343.5, 0
45629, 13688.7, 1
65411, 19623.3, 0
69218, 34609.0, 0
86881, 52128.6, 0
8243, 4121.5, 1
16798, 5039.4, 0
26133, 15679.8, 0
57699, 17309.7, 0
31166, 9349.8, 0
52833, 15849.9, 0
54166, 16249.8, 0
25259, 5051.8, 0
55841, 11168.2, 0
82940, 33176.0, 1
52451, 15735.3, 0
23290, 11645.0, 0
38835, 7767.0, 0
43619, 13085.7, 0
60574, 18172.2, 0
66194, 13238.8, 0
55955, 16786.5, 0
12190, 2438.0, 0
42809, 17123.6, 0
73758, 22127.4, 1
11081, 6648.6, 0
68355, 34177.5, 0
34808, 10442.4, 0
31885, 15942.5, 0
26206, 7861.8, 0
56149, 16844.7, 0
58389, 23355.6, 1
92663, 64864.1, 1
36567, 21940.2, 0
60582, 18174.6, 0
27817, 8345.1, 1
16804, 5041.2, 0
72132, 28852.8, 0
5854, 1756.2, 0
54571, 16371.3, 1
16241, 4872.3, 0
77445, 15489.0, 0
13517, 2703.4, 0
27271, 8181.3, 0
2093, 627.9, 0
99306, 29791.8, 0
72394, 21718.2, 0
95680, 38272.0, 1
53802, 37661.4, 0
46429, 13928.7, 0
63476, 12695.2, 0
52417, 31450.2, 0
8169, 2450.7, 0
68287, 20486.1, 0
25822, 18075.4, 0
83778, 41889.0, 0
86150, 43075.0, 0
40085, 16034.0, 0
98608, 29582.4, 0
8856, 6199.2, 0
9495, 2848.5, 0
