id,value,proposed,result
9, 9895, 2968.5, 0
1, 3013, 903.9, 1
9, 7047, 2114.1, 0
2, 8721, 1744.2, 0
2, 4517, 903.4, 1
6, 3318, 1327.2, 0
1, 3146, 943.8, 0
2, 9011, 1802.2, 0
7, 1385, 415.5, 1
2, 9537, 1907.4, 1
4, 8371, 5022.6, 1
7, 2790, 837.0, 1
0, 6506, 4554.2, 0
5, 3432, 686.4, 0
9, 8822, 2646.6, 0
8, 1481, 444.3, 0
8, 2880, 864.0, 1
2, 4648, 929.6, 0
6, 1982, 792.8, 0
8, 1668, 500.4, 0
2, 5228, 1045.6, 0
7, 8653, 2595.9, 0
6, 6243, 2497.2, 0
4, 6259, 3755.4, 1
0, 4181, 2926.7, 0
5, 3021, 604.2, 0
0, 8844, 6190.8, 0
0, 6397, 4477.9, 0
8, 8102, 2430.6, 0
1, 4248, 1274.4, 1
0, 8015, 5610.5, 0
2, 3939, 787.8, 1
2, 4587, 917.4, 1
4, 1967, 1180.2, 0
1, 5480, 1644.0, 1
4, 1979, 1187.4, 1
7, 7415, 2224.5, 0
8, 7745, 2323.5, 0
3, 1730, 865.0, 0
1, 2289, 686.7, 0
3, 8877, 4438.5, 0
6, 7985, 3194.0, 1
7, 1072, 321.6, 0
2, 2070, 414.0, 0
9, 5744, 1723.2, 1
2, 5287, 1057.4, 1
4, 3589, 2153.4, 1
6, 1158, 463.2, 0
3, 1792, 896.0, 0
9, 1305, 391.5, 0
8, 6229, 1868.7, 1
7, 8874, 2662.2, 0
9, 8976, 2692.8, 0
3, 2339, 1169.5, 0
1, 8276, 2482.8, 0
6, 3823, 1529.2, 1
3, 9351, 4675.5, 0
6, 8238, 3295.2, 0
9, 7735, 2320.5, 1
3, 7871, 3935.5, 1
6, 7916, 3166.4, 0
7, 2587, 776.1, 1
6, 1437, 574.8, 0
7, 9626, 2887.8, 0
2, 1029, 205.8, 0
3, 7681, 3840.5, 1
2, 7482, 1496.4, 1
0, 1686, 1180.2, 0
3, 1125, 562.5, 0
5, 1929, 385.8, 1
2, 5714, 1142.8, 0
0, 1716, 1201.2, 1
8, 8919, 2675.7, 0
0, 9176, 6423.2, 0
1, 1482, 444.6, 0
0, 1221, 854.7, 0
7, 5865, 1759.5, 0
0, 6464, 4524.8, 0
9, 3594, 1078.2, 0
1, 5792, 1737.6, 0
8, 3267, 980.1, 0
5, 9986, 1997.2, 0
9, 4531, 1359.3, 1
6, 5565, 2226.0, 0
1, 2669, 800.7, 0
5, 6648, 1329.6, 1
4, 5308, 3184.8, 0
4, 8929, 5357.4, 1
5, 1888, 377.6, 0
5, 3685, 737.0, 0
5, 8013, 1602.6, 0
8, 5629, 1688.7, 1
9, 1916, 574.8, 0
9, 1920, 576.0, 0
9, 2947, 884.1, 1
1, 6109, 1832.7, 0
3, 3293, 1646.5, 0
8, 6147, 1844.1, 0
7, 7611, 2283.3, 0
0, 2446, 1712.2, 0
0, 6277, 4393.9, 1
1, 9555, 2866.5, 1
7, 7580, 2274.0, 0
1, 3870, 1161.0, 1
3, 4062, 2031.0, 0
4, 1046, 627.6, 0
8, 2026, 607.8, 0
9, 2150, 645.0, 0
9, 4717, 1415.1, 0
4, 2297, 1378.2, 1
9, 4906, 1471.8, 0
6, 5913, 2365.2, 1
4, 4093, 2455.8, 0
2, 6635, 1327.0, 0
6, 1405, 562.0, 0
6, 3731, 1492.4, 0
2, 6131, 1226.2, 0
7, 3009, 902.7, 0
7, 8349, 2504.7, 0
4, 5328, 3196.8, 1
6, 8881, 3552.4, 1
6, 6942, 2776.8, 0
8, 8928, 2678.4, 1
8, 8834, 2650.2, 0
5, 9121, 1824.2, 1
7, 2384, 715.2, 1
4, 2676, 1605.6, 0
4, 2326, 1395.6, 0
5, 4045, 809.0, 1
2, 5508, 1101.6, 0
7, 2367, 710.1, 1
4, 9979, 5987.4, 0
0, 6762, 4733.4, 1
6, 2130, 852.0, 1
5, 7408, 1481.6, 0
5, 8106, 1621.2, 0
7, 2231, 669.3, 0
9, 5561, 1668.3, 0
8, 5448, 1634.4, 1
8, 1236, 370.8, 1
3, 1765, 882.5, 0
2, 9987, 1997.4, 0
0, 2102, 1471.4, 0
7, 3968, 1190.4, 1
9, 2775, 832.5, 1
6, 9925, 3970.0, 0
7, 4754, 1426.2, 0
7, 2446, 733.8, 0
7, 3442, 1032.6, 1
0, 9880, 6916.0, 0
5, 9421, 1884.2, 0
4, 4307, 2584.2, 0
9, 6913, 2073.9, 0
2, 5235, 1047.0, 0
1, 2282, 684.6, 0
8, 6745, 2023.5, 1
3, 2604, 1302.0, 0
2, 8457, 1691.4, 0
8, 2960, 888.0, 1
0, 2878, 2014.6, 1
4, 4537, 2722.2, 0
6, 4829, 1931.6, 0
5, 6657, 1331.4, 1
4, 8670, 5202.0, 0
4, 7175, 4305.0, 0
9, 9922, 2976.6, 0
5, 5201, 1040.2, 0
1, 6697, 2009.1, 0
1, 3592, 1077.6, 0
6, 9988, 3995.2, 0
9, 5461, 1638.3, 0
5, 8506, 1701.2, 0
0, 9795, 6856.5, 1
9, 3837, 1151.1, 0
6, 5796, 2318.4, 1
7, 2612, 783.6, 0
6, 2378, 951.2, 0
1, 8262, 2478.6, 1
9, 4446, 1333.8, 0
3, 1873, 936.5, 1
0, 1395, 976.5, 1
1, 6600, 1980.0, 0
1, 5050, 1515.0, 0
4, 5222, 3133.2, 0
6, 9359, 3743.6, 0
8, 4322, 1296.6, 1
5, 8954, 1790.8, 0
2, 6805, 1361.0, 1
3, 7063, 3531.5, 1
1, 7632, 2289.6, 0
2, 9309, 1861.8, 1
0, 7378, 5164.6, 1
4, 3880, 2328.0, 0
5, 3096, 619.2, 0
0, 9866, 6906.2, 0
9, 6233, 1869.9, 0
9, 4089, 1226.7, 0
4, 1902, 1141.2, 0
7, 2344, 703.2, 0
1, 3593, 1077.9, 1
3, 8603, 4301.5, 0
7, 7355, 2206.5, 1
7, 5346, 1603.8, 0
2, 9218, 1843.6, 1
2, 2640, 528.0, 0
0, 7208, 5045.6, 1
6, 4582, 1832.8, 0
4, 1896, 1137.6, 0
2, 9386, 1877.2, 1
6, 4895, 1958.0, 1
4, 6604, 3962.4, 0
3, 1266, 633.0, 0
0, 1062, 743.4, 0
3, 9674, 4837.0, 0
7, 2544, 763.2, 1
3, 5152, 2576.0, 0
2, 9388, 1877.6, 1
0, 6624, 4636.8, 0
0, 2810, 1967.0, 0
7, 6255, 1876.5, 1
9, 4453, 1335.9, 1
2, 6393, 1278.6, 0
9, 5955, 1786.5, 1
8, 2782, 834.6, 0
7, 9210, 2763.0, 0
1, 1106, 331.8, 0
2, 5990, 1198.0, 1
5, 3977, 795.4, 0
4, 1864, 1118.4, 0
7, 1900, 570.0, 0
2, 6671, 1334.2, 1
1, 1730, 519.0, 0
8, 3410, 1023.0, 0
9, 2224, 667.2, 0
9, 6640, 1992.0, 0
3, 4792, 2396.0, 0
5, 8247, 1649.4, 1
5, 9671, 1934.2, 0
3, 3616, 1808.0, 0
8, 7233, 2169.9, 1
6, 6632, 2652.8, 0
2, 5619, 1123.8, 0
7, 8083, 2424.9, 0
8, 5597, 1679.1, 0
8, 5006, 1501.8, 0
8, 7651, 2295.3, 1
2, 8877, 1775.4, 1
8, 1020, 306.0, 0
6, 2170, 868.0, 1
3, 2353, 1176.5, 0
9, 4423, 1326.9, 0
3, 5845, 2922.5, 0
1, 9265, 2779.5, 0
8, 4070, 1221.0, 0
2, 4661, 932.2, 0
6, 5805, 2322.0, 0
4, 8036, 4821.6, 0
1, 8747, 2624.1, 1
3, 5962, 2981.0, 0
4, 3291, 1974.6, 0
3, 3049, 1524.5, 0
1, 5450, 1635.0, 1
5, 6646, 1329.2, 0
2, 9558, 1911.6, 0
9, 4457, 1337.1, 0
8, 7256, 2176.8, 0
1, 4978, 1493.4, 1
8, 2583, 774.9, 0
2, 2292, 458.4, 0
5, 4153, 830.6, 0
0, 1838, 1286.6, 1
4, 1289, 773.4, 0
3, 4037, 2018.5, 1
2, 1010, 202.0, 1
0, 9926, 6948.2, 0
7, 1210, 363.0, 1
9, 6498, 1949.4, 0
2, 2739, 547.8, 0
6, 9486, 3794.4, 1
1, 7250, 2175.0, 1
1, 7470, 2241.0, 0
3, 2322, 1161.0, 0
4, 3216, 1929.6, 0
3, 3537, 1768.5, 1
3, 5938, 2969.0, 0
0, 4864, 3404.8, 0
3, 1448, 724.0, 0
6, 5504, 2201.6, 0
3, 5585, 2792.5, 1
3, 8723, 4361.5, 0
0, 2341, 1638.7, 0
0, 2666, 1866.2, 1
7, 1602, 480.6, 1
6, 6403, 2561.2, 0
8, 7653, 2295.9, 0
3, 6609, 3304.5, 0
1, 5158, 1547.4, 1
2, 4330, 866.0, 0
4, 1380, 828.0, 0
2, 6470, 1294.0, 1
9, 8885, 2665.5, 0
5, 1873, 374.6, 0
8, 2614, 784.2, 0
1, 7971, 2391.3, 1
4, 8219, 4931.4, 1
7, 7721, 2316.3, 0
5, 5818, 1163.6, 1
9, 1861, 558.3, 1
4, 6476, 3885.6, 0
4, 9273, 5563.8, 1
3, 5410, 2705.0, 0
0, 3849, 2694.3, 0
1, 3774, 1132.2, 0
6, 9145, 3658.0, 0
1, 6308, 1892.4, 0
2, 7500, 1500.0, 1
4, 8736, 5241.6, 1
6, 6666, 2666.4, 0
1, 6278, 1883.4, 0
9, 2432, 729.6, 0
8, 6713, 2013.9, 0
8, 5630, 1689.0, 0
2, 6223, 1244.6, 0
3, 5170, 2585.0, 1
5, 8781, 1756.2, 0
2, 1140, 228.0, 0
9, 9582, 2874.6, 1
3, 9591, 4795.5, 0
3, 9737, 4868.5, 1
9, 3343, 1002.9, 0
8, 8112, 2433.6, 0
8, 3996, 1198.8, 1
5, 8280, 1656.0, 0
7, 4514, 1354.2, 0
9, 6970, 2091.0, 0
0, 5484, 3838.8, 0
3, 3052, 1526.0, 0
8, 1359, 407.7, 0
1, 9339, 2801.7, 0
6, 3123, 1249.2, 0
2, 6112, 1222.4, 1
9, 8963, 2688.9, 0
7, 5693, 1707.9, 0
9, 5198, 1559.4, 1
3, 9143, 4571.5, 0
9, 7927, 2378.1, 0
9, 1564, 469.2, 0
6, 4105, 1642.0, 0
7, 9139, 2741.7, 0
1, 2675, 802.5, 0
3, 1218, 609.0, 0
1, 7718, 2315.4, 1
2, 7544, 1508.8, 1
9, 3860, 1158.0, 0
4, 8413, 5047.8, 1
0, 3094, 2165.8, 0
9, 6741, 2022.3, 0
1, 7242, 2172.6, 0
5, 5473, 1094.6, 0
3, 7888, 3944.0, 1
0, 5358, 3750.6, 0
9, 2277, 683.1, 1
9, 1499, 449.7, 0
0, 9930, 6951.0, 1
2, 8375, 1675.0, 0
4, 2847, 1708.2, 0
1, 8361, 2508.3, 0
2, 3141, 628.2, 0
5, 9149, 1829.8, 0
7, 1192, 357.6, 1
4, 8479, 5087.4, 0
2, 7153, 1430.6, 0
9, 5535, 1660.5, 0
1, 1137, 341.1, 0
0, 8223, 5756.1, 1
4, 6255, 3753.0, 1
5, 6471, 1294.2, 1
2, 5940, 1188.0, 1
8, 8314, 2494.2, 0
2, 3830, 766.0, 1
6, 4741, 1896.4, 1
6, 3596, 1438.4, 0
3, 2491, 1245.5, 0
1, 3274, 982.2, 0
1, 7791, 2337.3, 0
1, 3645, 1093.5, 0
7, 1250, 375.0, 0
7, 9976, 2992.8, 0
6, 7826, 3130.4, 0
4, 1042, 625.2, 1
3, 1187, 593.5, 0
0, 3520, 2464.0, 0
4, 7021, 4212.6, 0
9, 7540, 2262.0, 1
3, 3295, 1647.5, 0
0, 3795, 2656.5, 0
0, 1763, 1234.1, 0
8, 1398, 419.4, 0
9, 6818, 2045.4, 1
5, 7424, 1484.8, 0
3, 3675, 1837.5, 0
7, 7679, 2303.7, 0
7, 8448, 2534.4, 1
5, 5485, 1097.0, 0
5, 3774, 754.8, 0
9, 5170, 1551.0, 0
3, 6266, 3133.0, 0
3, 9018, 4509.0, 1
1, 4817, 1445.1, 0
1, 2945, 883.5, 1
1, 6318, 1895.4, 0
8, 3784, 1135.2, 0
8, 9481, 2844.3, 0
2, 4955, 991.0, 0
1, 6673, 2001.9, 0
6, 5075, 2030.0, 0
7, 6546, 1963.8, 0
6, 9068, 3627.2, 0
7, 4819, 1445.7, 1
4, 4986, 2991.6, 0
4, 6302, 3781.2, 1
0, 1090, 763.0, 1
7, 8135, 2440.5, 0
4, 4181, 2508.6, 1
6, 7791, 3116.4, 1
7, 9509, 2852.7, 0
1, 9348, 2804.4, 0
8, 8994, 2698.2, 0
1, 1503, 450.9, 0
8, 3920, 1176.0, 0
7, 8145, 2443.5, 1
8, 3838, 1151.4, 1
3, 3022, 1511.0, 0
3, 5438, 2719.0, 0
8, 9130, 2739.0, 0
5, 7677, 1535.4, 0
0, 4951, 3465.7, 1
5, 5238, 1047.6, 1
1, 6931, 2079.3, 0
4, 4660, 2796.0, 0
0, 7099, 4969.3, 1
4, 3414, 2048.4, 0
6, 3380, 1352.0, 0
7, 7697, 2309.1, 0
6, 2618, 1047.2, 1
4, 3698, 2218.8, 1
9, 9756, 2926.8, 1
1, 3130, 939.0, 0
7, 7923, 2376.9, 1
7, 2946, 883.8, 0
7, 6377, 1913.1, 0
3, 1837, 918.5, 0
0, 3468, 2427.6, 0
7, 7900, 2370.0, 0
1, 2492, 747.6, 0
0, 2025, 1417.5, 1
1, 3571, 1071.3, 0
3, 7170, 3585.0, 0
4, 8224, 4934.4, 1
9, 8610, 2583.0, 1
0, 7321, 5124.7, 0
2, 5673, 1134.6, 0
7, 7275, 2182.5, 0
5, 6791, 1358.2, 0
3, 9487, 4743.5, 0
4, 8462, 5077.2, 1
8, 1906, 571.8, 0
3, 2817, 1408.5, 0
3, 5572, 2786.0, 0
2, 5761, 1152.2, 1
0, 9548, 6683.6, 0
6, 6195, 2478.0, 1
1, 5660, 1698.0, 0
8, 3808, 1142.4, 1
8, 3138, 941.4, 1
2, 1768, 353.6, 1
1, 3228, 968.4, 1
6, 4467, 1786.8, 0
5, 1621, 324.2, 0
4, 4746, 2847.6, 0
7, 9292, 2787.6, 0
9, 6035, 1810.5, 1
0, 7111, 4977.7, 1
0, 2624, 1836.8, 0
1, 2979, 893.7, 0
4, 1191, 714.6, 1
9, 4547, 1364.1, 1
9, 4117, 1235.1, 1
3, 1060, 530.0, 1
6, 4756, 1902.4, 1
0, 2766, 1936.2, 0
1, 7929, 2378.7, 1
9, 7115, 2134.5, 0
2, 3849, 769.8, 0
1, 6061, 1818.3, 1
5, 6785, 1357.0, 0
3, 7088, 3544.0, 0
9, 4100, 1230.0, 1
4, 6120, 3672.0, 1
0, 7538, 5276.6, 0
6, 1573, 629.2, 0
8, 1987, 596.1, 1
8, 6208, 1862.4, 1
9, 5751, 1725.3, 0
2, 5663, 1132.6, 0
5, 2224, 444.8, 0
4, 8711, 5226.6, 0
9, 3798, 1139.4, 0
5, 9476, 1895.2, 1
1, 2240, 672.0, 0
2, 8941, 1788.2, 0
1, 4081, 1224.3, 0
3, 6433, 3216.5, 1
6, 5269, 2107.6, 1
1, 6412, 1923.6, 0
2, 5872, 1174.4, 0
5, 2393, 478.6, 0
3, 4946, 2473.0, 1
5, 2721, 544.2, 0
9, 4056, 1216.8, 1
6, 5028, 2011.2, 1
7, 2258, 677.4, 0
1, 5356, 1606.8, 0
2, 4395, 879.0, 0
5, 7786, 1557.2, 0
5, 6776, 1355.2, 1
7, 1093, 327.9, 0
2, 7398, 1479.6, 1
1, 7304, 2191.2, 0
0, 1411, 987.7, 1
0, 6165, 4315.5, 0
9, 6326, 1897.8, 0
5, 8413, 1682.6, 0
7, 5029, 1508.7, 0
2, 7389, 1477.8, 0
9, 5205, 1561.5, 0
9, 5452, 1635.6, 1
5, 9515, 1903.0, 0
2, 6204, 1240.8, 0
9, 9549, 2864.7, 1
3, 3875, 1937.5, 0
5, 7219, 1443.8, 0
1, 1678, 503.4, 1
1, 7574, 2272.2, 0
3, 2861, 1430.5, 0
9, 7160, 2148.0, 0
7, 3308, 992.4, 0
4, 2996, 1797.6, 0
9, 3186, 955.8, 0
0, 1106, 774.2, 0
7, 5953, 1785.9, 0
9, 2685, 805.5, 1
3, 9409, 4704.5, 0
3, 7281, 3640.5, 0
7, 9405, 2821.5, 1
7, 9528, 2858.4, 0
1, 9261, 2778.3, 0
4, 8950, 5370.0, 0
1, 9343, 2802.9, 0
4, 7097, 4258.2, 0
7, 3929, 1178.7, 0
5, 9871, 1974.2, 0
7, 6094, 1828.2, 0
9, 6229, 1868.7, 0
2, 7717, 1543.4, 0
7, 7416, 2224.8, 0
4, 2913, 1747.8, 0
8, 9900, 2970.0, 1
0, 8676, 6073.2, 1
9, 1114, 334.2, 0
3, 9177, 4588.5, 0
2, 2885, 577.0, 1
2, 2804, 560.8, 1
2, 9268, 1853.6, 1
1, 9280, 2784.0, 0
2, 8721, 1744.2, 0
2, 4513, 902.6, 0
9, 8081, 2424.3, 1
0, 9425, 6597.5, 0
8, 9171, 2751.3, 0
8, 4330, 1299.0, 0
5, 6315, 1263.0, 1
5, 4967, 993.4, 0
5, 5883, 1176.6, 1
6, 2043, 817.2, 1
8, 4921, 1476.3, 1
2, 3685, 737.0, 1
7, 7565, 2269.5, 0
8, 2335, 700.5, 0
0, 8148, 5703.6, 0
4, 1959, 1175.4, 0
0, 9177, 6423.9, 0
8, 8083, 2424.9, 1
8, 3438, 1031.4, 1
0, 1632, 1142.4, 0
7, 3118, 935.4, 0
5, 8114, 1622.8, 1
3, 4026, 2013.0, 0
4, 8769, 5261.4, 0
5, 8438, 1687.6, 0
7, 8979, 2693.7, 0
8, 6039, 1811.7, 1
9, 4896, 1468.8, 1
7, 2092, 627.6, 0
3, 4038, 2019.0, 1
7, 6737, 2021.1, 0
1, 3745, 1123.5, 0
3, 3228, 1614.0, 0
4, 7623, 4573.8, 0
2, 6380, 1276.0, 1
4, 7937, 4762.2, 1
3, 3908, 1954.0, 1
2, 7565, 1513.0, 1
7, 6602, 1980.6, 1
8, 1883, 564.9, 1
6, 9812, 3924.8, 0
6, 2468, 987.2, 1
0, 4299, 3009.3, 0
7, 8045, 2413.5, 0
6, 8141, 3256.4, 0
6, 8965, 3586.0, 0
7, 5134, 1540.2, 0
8, 3405, 1021.5, 0
4, 3869, 2321.4, 0
8, 5731, 1719.3, 0
6, 2116, 846.4, 0
4, 5125, 3075.0, 0
2, 8873, 1774.6, 0
8, 6256, 1876.8, 0
3, 6815, 3407.5, 0
4, 7883, 4729.8, 1
3, 1476, 738.0, 0
6, 3015, 1206.0, 1
8, 2626, 787.8, 0
8, 8378, 2513.4, 1
0, 2504, 1752.8, 0
0, 9067, 6346.9, 0
4, 4985, 2991.0, 0
7, 9907, 2972.1, 1
2, 2632, 526.4, 1
1, 4367, 1310.1, 0
5, 2758, 551.6, 0
0, 2002, 1401.4, 1
8, 9979, 2993.7, 0
6, 8878, 3551.2, 1
5, 7523, 1504.6, 0
7, 8942, 2682.6, 1
1, 6880, 2064.0, 1
3, 4685, 2342.5, 0
6, 4660, 1864.0, 0
2, 1454, 290.8, 0
6, 9249, 3699.6, 1
1, 2333, 699.9, 0
6, 9990, 3996.0, 0
8, 8379, 2513.7, 1
5, 3052, 610.4, 0
3, 3001, 1500.5, 0
3, 8318, 4159.0, 0
7, 2547, 764.1, 0
7, 8101, 2430.3, 0
6, 3635, 1454.0, 1
8, 9601, 2880.3, 0
3, 6529, 3264.5, 0
0, 6009, 4206.3, 1
7, 4934, 1480.2, 1
3, 6995, 3497.5, 0
4, 4386, 2631.6, 0
4, 1336, 801.6, 1
9, 9834, 2950.2, 1
7, 3010, 903.0, 1
6, 8353, 3341.2, 0
0, 9037, 6325.9, 0
3, 8450, 4225.0, 0
5, 2288, 457.6, 1
8, 8128, 2438.4, 0
7, 3043, 912.9, 0
7, 1731, 519.3, 0
4, 2806, 1683.6, 0
6, 5561, 2224.4, 0
3, 2021, 1010.5, 0
4, 3453, 2071.8, 0
3, 4507, 2253.5, 0
8, 9368, 2810.4, 0
1, 3911, 1173.3, 0
0, 9629, 6740.3, 0
1, 7896, 2368.8, 0
8, 7838, 2351.4, 0
8, 1858, 557.4, 1
2, 9542, 1908.4, 0
2, 8171, 1634.2, 0
2, 7652, 1530.4, 0
3, 2812, 1406.0, 0
6, 8782, 3512.8, 1
5, 9880, 1976.0, 1
4, 2354, 1412.4, 0
9, 2451, 735.3, 1
7, 9424, 2827.2, 1
9, 2319, 695.7, 0
1, 8451, 2535.3, 0
9, 7163, 2148.9, 0
7, 6702, 2010.6, 0
8, 5473, 1641.9, 0
8, 1911, 573.3, 0
4, 5918, 3550.8, 1
1, 1066, 319.8, 0
2, 1164, 232.8, 0
5, 9789, 1957.8, 1
2, 4630, 926.0, 0
3, 3529, 1764.5, 0
5, 6407, 1281.4, 0
4, 3987, 2392.2, 1
7, 3836, 1150.8, 0
6, 6482, 2592.8, 1
8, 7932, 2379.6, 0
7, 3889, 1166.7, 0
8, 9775, 2932.5, 0
2, 7819, 1563.8, 1
2, 6766, 1353.2, 0
3, 7072, 3536.0, 0
7, 7142, 2142.6, 0
7, 1013, 303.9, 0
5, 3832, 766.4, 0
3, 2638, 1319.0, 0
3, 1390, 695.0, 0
4, 5545, 3327.0, 0
4, 4117, 2470.2, 0
9, 9739, 2921.7, 0
2, 2445, 489.0, 0
4, 5194, 3116.4, 1
1, 6065, 1819.5, 0
1, 7653, 2295.9, 0
6, 1353, 541.2, 0
1, 8141, 2442.3, 0
0, 2242, 1569.4, 0
0, 9962, 6973.4, 0
4, 1321, 792.6, 0
4, 7882, 4729.2, 0
2, 1439, 287.8, 0
6, 1582, 632.8, 1
1, 2846, 853.8, 0
0, 4980, 3486.0, 0
8, 4890, 1467.0, 0
6, 4289, 1715.6, 0
1, 2205, 661.5, 1
9, 4411, 1323.3, 1
7, 3103, 930.9, 0
0, 6698, 4688.6, 0
7, 8138, 2441.4, 0
6, 6175, 2470.0, 0
0, 5787, 4050.9, 1
8, 2930, 879.0, 0
7, 2911, 873.3, 0
9, 9600, 2880.0, 0
2, 5650, 1130.0, 0
1, 1294, 388.2, 0
4, 8254, 4952.4, 0
5, 6242, 1248.4, 0
5, 7091, 1418.2, 0
3, 3357, 1678.5, 1
3, 8835, 4417.5, 1
1, 8519, 2555.7, 1
4, 2807, 1684.2, 0
7, 8067, 2420.1, 0
9, 9678, 2903.4, 1
3, 7623, 3811.5, 0
4, 7026, 4215.6, 1
3, 2255, 1127.5, 0
5, 5296, 1059.2, 0
0, 8280, 5796.0, 0
8, 8049, 2414.7, 1
2, 3967, 793.4, 1
1, 2066, 619.8, 0
7, 1993, 597.9, 1
8, 9916, 2974.8, 0
8, 9204, 2761.2, 0
9, 8086, 2425.8, 0
3, 7330, 3665.0, 0
7, 7005, 2101.5, 1
6, 5106, 2042.4, 0
6, 6549, 2619.6, 1
0, 3506, 2454.2, 1
8, 2031, 609.3, 0
6, 1008, 403.2, 0
1, 9697, 2909.1, 0
2, 7936, 1587.2, 1
9, 4353, 1305.9, 1
9, 9598, 2879.4, 0
8, 9768, 2930.4, 1
8, 2550, 765.0, 0
7, 8229, 2468.7, 1
7, 7063, 2118.9, 0
7, 7019, 2105.7, 0
0, 2067, 1446.9, 0
5, 2378, 475.6, 0
5, 5984, 1196.8, 1
6, 4877, 1950.8, 1
2, 6259, 1251.8, 0
8, 5555, 1666.5, 0
6, 7950, 3180.0, 0
3, 8830, 4415.0, 0
8, 2199, 659.7, 0
1, 9794, 2938.2, 0
1, 9083, 2724.9, 0
0, 8786, 6150.2, 0
7, 1941, 582.3, 1
5, 8510, 1702.0, 0
1, 4343, 1302.9, 1
6, 2822, 1128.8, 1
7, 6718, 2015.4, 0
5, 5041, 1008.2, 1
3, 6013, 3006.5, 0
4, 1040, 624.0, 1
4, 4620, 2772.0, 1
3, 3822, 1911.0, 0
0, 4624, 3236.8, 1
9, 1406, 421.8, 1
2, 2294, 458.8, 0
6, 8693, 3477.2, 1
0, 2457, 1719.9, 1
9, 1265, 379.5, 1
0, 5887, 4120.9, 0
9, 9877, 2963.1, 0
8, 1306, 391.8, 1
4, 8718, 5230.8, 0
1, 7984, 2395.2, 0
7, 3966, 1189.8, 1
7, 1675, 502.5, 1
2, 5897, 1179.4, 0
9, 8593, 2577.9, 1
0, 6413, 4489.1, 0
5, 1463, 292.6, 1
5, 3414, 682.8, 0
6, 1592, 636.8, 1
1, 4927, 1478.1, 0
4, 5199, 3119.4, 0
0, 2593, 1815.1, 0
0, 7085, 4959.5, 1
7, 6294, 1888.2, 0
2, 5025, 1005.0, 0
8, 1427, 428.1, 1
6, 7177, 2870.8, 0
8, 5805, 1741.5, 0
1, 7498, 2249.4, 0
7, 6841, 2052.3, 0
7, 7673, 2301.9, 1
5, 4821, 964.2, 0
9, 2181, 654.3, 0
3, 5927, 2963.5, 0
4, 2353, 1411.8, 1
7, 3716, 1114.8, 1
0, 3961, 2772.7, 0
0, 8699, 6089.3, 0
